county,locationid,year,dogkill,population,unemployed,medincome,perpoverty,poverty,vtdummy,statedum,state,nvdummy,ctdummy,medummy,ordercount,expenditures,count,county_vcrime,state_vcrime_report,state_vcrime_est,countyid,_merge,black,na,hisp,countlag,explag,minority,kill,stateid,nhdummy,drugest,lb,ub,t,t2,t3,killlag,logexpenditures,logmedincome,logpopulation,logblack,logcounty_vcrime,logminority,logexplag,dogkilllag,changecount,changecountdog,meancount,meancountdog
Middlesex,904,2009,0,134182,5010,74615,,7111,0,1,Connecticut,0,1,0,0,0,0,,,,,1,7059,174,7317,0,0,,0,1,0,9.42000007629395,7.8600001335144,11.2399997711182,4,16,64,0,0,11.2200965881348,11.8069524765015,8.86220073699951,,,0,0,0,0,0.125,0
Middlesex,904,2010,0,134420,6534,74301,,8065,0,1,Connecticut,0,1,0,0,0,1,,,,,1,7059,174,7317,0,0,,1,1,0,8.97000026702881,7.46000003814697,10.7399997711182,5,25,125,0,0,11.2158794403076,11.8087244033813,8.86220073699951,,,0,0,1,0,0.125,0
Middlesex,904,2011,0,136143,6329,77139,,15821,0,1,Connecticut,0,1,0,0,0,0,,,,,1,7059,174,7317,1,0,,0,1,0,9.5,7.94999980926514,11.3299999237061,6,36,216,1,0,11.2533645629883,11.821460723877,8.86220073699951,,,0,0,-1,0,0.125,0
Middlesex,904,2012,0,136887,6224,74784,,7391,0,1,Connecticut,0,1,0,0,0,0,,,,,1,7059,174,7317,0,0,,0,1,0,9.93000030517578,,,7,49,343,0,0,11.2223596572876,11.8269109725952,8.86220073699951,,,0,0,0,0,0.125,0
Middlesex,904,2013,0,137363,5724,75303,,10164,0,1,Connecticut,0,1,0,0,0,0,,,,,1,7059,174,7317,0,0,,0,1,0,9.94999980926514,,,8,64,512,0,0,11.2292757034302,11.8303823471069,8.86220073699951,,,0,0,0,0,0.125,0
New Haven,905,2006,0,674810,32640,56840,,56984,0,1,Connecticut,0,1,0,12,5988,3,,,,,1,99141,933,120521,1,0,,1,1,0,,,,1,1,1,1,8.69767951965332,10.9479951858521,13.4221868515015,11.5043087005615,,,,,,,1.75,0.375
New Haven,905,2007,0,670086,30698,58528,,68348,0,1,Connecticut,0,1,0,39,13906,1,,,,,1,99141,933,120521,3,5988,,1,1,0,,,,2,4,8,1,9.54014778137207,10.9772605895996,13.4151611328125,11.5043087005615,,,8.69767951965332,0,-2,0,1.75,0.375
New Haven,905,2008,0,671836,31931,61663,,68527,0,1,Connecticut,0,1,0,98,37011,2,,,,,1,99141,933,120521,1,13906,,1,1,0,8.6899995803833,7.23000001907349,10.4099998474121,3,9,27,1,10.5189971923828,11.0294389724731,13.4177694320679,11.5043087005615,,,9.54014778137207,0,1,0,1.75,0.375
New Haven,905,2009,0,676061,37135,61484,,73014,0,1,Connecticut,0,1,0,5,2495,2,,,,,1,99141,933,120521,2,37011,,1,1,0,9.42000007629395,7.8600001335144,11.2399997711182,4,16,64,1,7.82244491577148,11.0265321731567,13.4240388870239,11.5043087005615,,,10.5189971923828,0,0,0,1.75,0.375
New Haven,905,2010,1,690801,44145,60471,,80132,0,1,Connecticut,0,1,0,0,0,1,,,,,1,99141,933,120521,2,2495,,1,1,0,8.97000026702881,7.46000003814697,10.7399997711182,5,25,125,1,0,11.0099191665649,13.4456071853638,11.5043087005615,,,7.82244491577148,0,-1,1,1.75,0.375
New Haven,905,2011,0,695970,56282,59245,,91686,0,1,Connecticut,0,1,0,1,47989,1,,,,,1,99141,933,120521,1,0,,1,1,0,9.5,7.94999980926514,11.3299999237061,6,36,216,1,10.7787475585938,10.9894371032715,13.4530620574951,11.5043087005615,,,0,1,0,-1,1.75,0.375
New Haven,905,2012,2,697550,52721,59271,,94169,0,1,Connecticut,0,1,0,546,402842.84375,2,,,,,1,99141,933,120521,1,47989,,1,1,0,9.93000030517578,,,7,49,343,1,12.906304359436,10.989875793457,13.4553298950195,11.5043087005615,,,10.7787475585938,0,1,2,1.75,0.375
New Haven,905,2013,0,702408,41258,58571,,90610,0,1,Connecticut,0,1,0,123,762287.625,2,,,,,1,99141,933,120521,2,402842.84375,,1,1,0,9.94999980926514,,,8,64,512,1,13.5440807342529,10.9779949188232,13.46226978302,11.5043087005615,,,12.906304359436,2,0,-2,1.75,0.375
